{'loss': 0.5315, 'learning_rate': 6.079484425349087e-06, 'epoch': 0.12}
{'loss': 0.4896, 'learning_rate': 6.100966702470462e-06, 'epoch': 0.12}
{'loss': 0.5258, 'learning_rate': 6.122448979591837e-06, 'epoch': 0.12}
{'loss': 0.4499, 'learning_rate': 6.143931256713212e-06, 'epoch': 0.12}
{'loss': 0.4997, 'learning_rate': 6.165413533834587e-06, 'epoch': 0.12}
{'loss': 0.515, 'learning_rate': 6.186895810955962e-06, 'epoch': 0.12}
{'loss': 0.4537, 'learning_rate': 6.208378088077337e-06, 'epoch': 0.12}
{'loss': 0.4263, 'learning_rate': 6.229860365198711e-06, 'epoch': 0.12}
{'loss': 0.3975, 'learning_rate': 6.251342642320086e-06, 'epoch': 0.13}
{'loss': 0.4943, 'learning_rate': 6.2728249194414615e-06, 'epoch': 0.13}
{'loss': 0.368, 'learning_rate': 6.294307196562837e-06, 'epoch': 0.13}
{'loss': 0.4396, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.13}
{'loss': 0.424, 'learning_rate': 6.337271750805586e-06, 'epoch': 0.13}
{'loss': 0.5096, 'learning_rate': 6.358754027926961e-06, 'epoch': 0.13}
{'loss': 0.3995, 'learning_rate': 6.380236305048335e-06, 'epoch': 0.13}
{'loss': 0.3927, 'learning_rate': 6.401718582169711e-06, 'epoch': 0.13}
{'loss': 0.4839, 'learning_rate': 6.423200859291086e-06, 'epoch': 0.13}
{'loss': 0.4008, 'learning_rate': 6.44468313641246e-06, 'epoch': 0.13}
Step 600 - Original loss: 0.2038, Custom loss: 0.2139, Total loss: 0.4177
Step 600 - Original loss: 0.2792, Custom loss: 0.1797, Total loss: 0.4589
{'loss': 0.3901, 'learning_rate': 6.466165413533835e-06, 'epoch': 0.13}
{'loss': 0.4969, 'learning_rate': 6.48764769065521e-06, 'epoch': 0.13}
{'loss': 0.3736, 'learning_rate': 6.509129967776585e-06, 'epoch': 0.13}
{'loss': 0.4654, 'learning_rate': 6.530612244897959e-06, 'epoch': 0.13}
{'loss': 0.4197, 'learning_rate': 6.552094522019334e-06, 'epoch': 0.13}
{'loss': 0.4488, 'learning_rate': 6.573576799140709e-06, 'epoch': 0.13}
{'loss': 0.511, 'learning_rate': 6.595059076262085e-06, 'epoch': 0.13}
{'loss': 0.4872, 'learning_rate': 6.616541353383459e-06, 'epoch': 0.13}
{'loss': 0.4535, 'learning_rate': 6.638023630504834e-06, 'epoch': 0.13}
{'loss': 0.5156, 'learning_rate': 6.659505907626209e-06, 'epoch': 0.13}
