{'loss': 0.6311, 'learning_rate': 4.81203007518797e-06, 'epoch': 0.1}
{'loss': 0.3675, 'learning_rate': 4.833512352309345e-06, 'epoch': 0.1}
Step 450 - Original loss: 0.2591, KL loss: 0.3867, MSE loss: 0.1406, Total loss: 0.5228
Step 450 - Original loss: 0.4073, KL loss: 0.2734, MSE loss: 0.1016, Total loss: 0.5948
{'loss': 0.4933, 'learning_rate': 4.85499462943072e-06, 'epoch': 0.1}
{'loss': 0.4479, 'learning_rate': 4.876476906552095e-06, 'epoch': 0.1}
{'loss': 0.6049, 'learning_rate': 4.897959183673469e-06, 'epoch': 0.1}
{'loss': 0.3856, 'learning_rate': 4.919441460794845e-06, 'epoch': 0.1}
{'loss': 0.4699, 'learning_rate': 4.94092373791622e-06, 'epoch': 0.1}
{'loss': 0.4474, 'learning_rate': 4.962406015037594e-06, 'epoch': 0.1}
{'loss': 0.4517, 'learning_rate': 4.98388829215897e-06, 'epoch': 0.1}
{'loss': 0.4141, 'learning_rate': 5.005370569280345e-06, 'epoch': 0.1}
{'loss': 0.4472, 'learning_rate': 5.0268528464017184e-06, 'epoch': 0.1}
{'loss': 0.4366, 'learning_rate': 5.048335123523094e-06, 'epoch': 0.1}
{'loss': 0.4295, 'learning_rate': 5.069817400644469e-06, 'epoch': 0.1}
{'loss': 0.3876, 'learning_rate': 5.091299677765844e-06, 'epoch': 0.1}
{'loss': 0.3269, 'learning_rate': 5.112781954887218e-06, 'epoch': 0.1}
{'loss': 0.3793, 'learning_rate': 5.134264232008593e-06, 'epoch': 0.1}
{'loss': 0.4018, 'learning_rate': 5.155746509129968e-06, 'epoch': 0.1}
{'loss': 0.3958, 'learning_rate': 5.177228786251343e-06, 'epoch': 0.1}
{'loss': 0.4185, 'learning_rate': 5.198711063372718e-06, 'epoch': 0.1}
{'loss': 0.3639, 'learning_rate': 5.220193340494093e-06, 'epoch': 0.1}
{'loss': 0.3949, 'learning_rate': 5.241675617615468e-06, 'epoch': 0.1}
{'loss': 0.4743, 'learning_rate': 5.263157894736842e-06, 'epoch': 0.11}
{'loss': 0.4096, 'learning_rate': 5.2846401718582175e-06, 'epoch': 0.11}
{'loss': 0.3699, 'learning_rate': 5.306122448979593e-06, 'epoch': 0.11}
{'loss': 0.3882, 'learning_rate': 5.327604726100966e-06, 'epoch': 0.11}
{'loss': 0.521, 'learning_rate': 5.349087003222342e-06, 'epoch': 0.11}
{'loss': 0.4048, 'learning_rate': 5.370569280343717e-06, 'epoch': 0.11}
Step 500 - Original loss: 0.3369, KL loss: 0.1543, MSE loss: 0.0476, Total loss: 0.4378
Step 500 - Original loss: 0.2194, KL loss: 0.1592, MSE loss: 0.0396, Total loss: 0.3188
{'loss': 0.4419, 'learning_rate': 5.392051557465092e-06, 'epoch': 0.11}
{'loss': 0.4171, 'learning_rate': 5.413533834586467e-06, 'epoch': 0.11}
{'loss': 0.4303, 'learning_rate': 5.435016111707842e-06, 'epoch': 0.11}
{'loss': 0.4811, 'learning_rate': 5.456498388829216e-06, 'epoch': 0.11}
{'loss': 0.4581, 'learning_rate': 5.477980665950591e-06, 'epoch': 0.11}
{'loss': 0.4914, 'learning_rate': 5.499462943071966e-06, 'epoch': 0.11}
{'loss': 0.3897, 'learning_rate': 5.520945220193341e-06, 'epoch': 0.11}
{'loss': 0.4394, 'learning_rate': 5.5424274973147166e-06, 'epoch': 0.11}
{'loss': 0.4311, 'learning_rate': 5.56390977443609e-06, 'epoch': 0.11}
{'loss': 0.3324, 'learning_rate': 5.585392051557465e-06, 'epoch': 0.11}
{'loss': 0.4576, 'learning_rate': 5.606874328678841e-06, 'epoch': 0.11}
{'loss': 0.3715, 'learning_rate': 5.628356605800215e-06, 'epoch': 0.11}
{'loss': 0.4796, 'learning_rate': 5.64983888292159e-06, 'epoch': 0.11}
{'loss': 0.3277, 'learning_rate': 5.671321160042965e-06, 'epoch': 0.11}
{'loss': 0.3738, 'learning_rate': 5.69280343716434e-06, 'epoch': 0.11}
{'loss': 0.4712, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.11}
{'loss': 0.386, 'learning_rate': 5.73576799140709e-06, 'epoch': 0.11}
{'loss': 0.4428, 'learning_rate': 5.757250268528465e-06, 'epoch': 0.12}
{'loss': 0.3262, 'learning_rate': 5.778732545649839e-06, 'epoch': 0.12}
{'loss': 0.3765, 'learning_rate': 5.800214822771214e-06, 'epoch': 0.12}
{'loss': 0.4014, 'learning_rate': 5.821697099892589e-06, 'epoch': 0.12}
{'loss': 0.3472, 'learning_rate': 5.8431793770139645e-06, 'epoch': 0.12}
{'loss': 0.3983, 'learning_rate': 5.864661654135339e-06, 'epoch': 0.12}
{'loss': 0.4479, 'learning_rate': 5.886143931256713e-06, 'epoch': 0.12}
{'loss': 0.4022, 'learning_rate': 5.907626208378089e-06, 'epoch': 0.12}
Step 550 - Original loss: 0.3090, KL loss: 0.3770, MSE loss: 0.0952, Total loss: 0.5450
Step 550 - Original loss: 0.2795, KL loss: 0.3164, MSE loss: 0.0898, Total loss: 0.4827
{'loss': 0.4916, 'learning_rate': 5.929108485499463e-06, 'epoch': 0.12}
{'loss': 0.3137, 'learning_rate': 5.950590762620838e-06, 'epoch': 0.12}
{'loss': 0.4079, 'learning_rate': 5.9720730397422136e-06, 'epoch': 0.12}
{'loss': 0.3729, 'learning_rate': 5.993555316863589e-06, 'epoch': 0.12}
{'loss': 0.5693, 'learning_rate': 6.015037593984962e-06, 'epoch': 0.12}
{'loss': 0.3233, 'learning_rate': 6.036519871106338e-06, 'epoch': 0.12}
{'loss': 0.3929, 'learning_rate': 6.058002148227713e-06, 'epoch': 0.12}
{'loss': 0.452, 'learning_rate': 6.079484425349087e-06, 'epoch': 0.12}
{'loss': 0.4561, 'learning_rate': 6.100966702470462e-06, 'epoch': 0.12}
{'loss': 0.3996, 'learning_rate': 6.122448979591837e-06, 'epoch': 0.12}
{'loss': 0.3868, 'learning_rate': 6.143931256713212e-06, 'epoch': 0.12}
{'loss': 0.4275, 'learning_rate': 6.165413533834587e-06, 'epoch': 0.12}
{'loss': 0.4333, 'learning_rate': 6.186895810955962e-06, 'epoch': 0.12}
{'loss': 0.4093, 'learning_rate': 6.208378088077337e-06, 'epoch': 0.12}
{'loss': 0.3925, 'learning_rate': 6.229860365198711e-06, 'epoch': 0.12}
{'loss': 0.3532, 'learning_rate': 6.251342642320086e-06, 'epoch': 0.13}
{'loss': 0.3929, 'learning_rate': 6.2728249194414615e-06, 'epoch': 0.13}
{'loss': 0.3738, 'learning_rate': 6.294307196562837e-06, 'epoch': 0.13}
{'loss': 0.4721, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.13}
