{'loss': 0.3895, 'learning_rate': 5.370569280343717e-06, 'epoch': 0.11}
Step 500 - Original loss: 0.2526, KL loss: 0.1777, MSE loss: 0.0513, Total loss: 0.3671
Step 500 - Original loss: 0.3073, KL loss: 0.1895, MSE loss: 0.0540, Total loss: 0.4290
{'loss': 0.4661, 'learning_rate': 5.392051557465092e-06, 'epoch': 0.11}
{'loss': 0.5219, 'learning_rate': 5.413533834586467e-06, 'epoch': 0.11}
{'loss': 0.5246, 'learning_rate': 5.435016111707842e-06, 'epoch': 0.11}
{'loss': 0.446, 'learning_rate': 5.456498388829216e-06, 'epoch': 0.11}
{'loss': 0.4478, 'learning_rate': 5.477980665950591e-06, 'epoch': 0.11}
{'loss': 0.4813, 'learning_rate': 5.499462943071966e-06, 'epoch': 0.11}
{'loss': 0.3951, 'learning_rate': 5.520945220193341e-06, 'epoch': 0.11}
{'loss': 0.5178, 'learning_rate': 5.5424274973147166e-06, 'epoch': 0.11}
{'loss': 0.4251, 'learning_rate': 5.56390977443609e-06, 'epoch': 0.11}
{'loss': 0.3753, 'learning_rate': 5.585392051557465e-06, 'epoch': 0.11}
{'loss': 0.4154, 'learning_rate': 5.606874328678841e-06, 'epoch': 0.11}
{'loss': 0.4089, 'learning_rate': 5.628356605800215e-06, 'epoch': 0.11}
{'loss': 0.4697, 'learning_rate': 5.64983888292159e-06, 'epoch': 0.11}
{'loss': 0.4006, 'learning_rate': 5.671321160042965e-06, 'epoch': 0.11}
{'loss': 0.3432, 'learning_rate': 5.69280343716434e-06, 'epoch': 0.11}
{'loss': 0.4337, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.11}
{'loss': 0.3727, 'learning_rate': 5.73576799140709e-06, 'epoch': 0.11}
{'loss': 0.4172, 'learning_rate': 5.757250268528465e-06, 'epoch': 0.12}
{'loss': 0.3246, 'learning_rate': 5.778732545649839e-06, 'epoch': 0.12}
{'loss': 0.3755, 'learning_rate': 5.800214822771214e-06, 'epoch': 0.12}
{'loss': 0.3796, 'learning_rate': 5.821697099892589e-06, 'epoch': 0.12}
{'loss': 0.3568, 'learning_rate': 5.8431793770139645e-06, 'epoch': 0.12}
{'loss': 0.3928, 'learning_rate': 5.864661654135339e-06, 'epoch': 0.12}
{'loss': 0.4288, 'learning_rate': 5.886143931256713e-06, 'epoch': 0.12}
{'loss': 0.4249, 'learning_rate': 5.907626208378089e-06, 'epoch': 0.12}
Step 550 - Original loss: 0.2632, KL loss: 0.1885, MSE loss: 0.0510, Total loss: 0.3830
Step 550 - Original loss: 0.2793, KL loss: 0.1641, MSE loss: 0.0510, Total loss: 0.3868
{'loss': 0.367, 'learning_rate': 5.929108485499463e-06, 'epoch': 0.12}
{'loss': 0.3317, 'learning_rate': 5.950590762620838e-06, 'epoch': 0.12}
{'loss': 0.4354, 'learning_rate': 5.9720730397422136e-06, 'epoch': 0.12}
{'loss': 0.3462, 'learning_rate': 5.993555316863589e-06, 'epoch': 0.12}
