W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 40.2s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 24.6s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 4.711311440223224e-07, Accum Loss: 1.1063218116760254
Lr: 4.732775273663877e-07, Accum Loss: 1.2366031408309937
Lr: 4.7542391071045296e-07, Accum Loss: 1.1673693656921387
Lr: 4.775702940545181e-07, Accum Loss: 1.2048882842063904
Lr: 4.797166773985834e-07, Accum Loss: 1.3010625839233398
Lr: 4.818630607426487e-07, Accum Loss: 1.1890010237693787
Lr: 4.840094440867139e-07, Accum Loss: 1.3581127524375916
Lr: 4.861558274307792e-07, Accum Loss: 1.1371262669563293
Lr: 4.883022107748444e-07, Accum Loss: 1.1574994921684265
Lr: 4.904485941189096e-07, Accum Loss: 1.140696406364441
Lr: 4.925949774629749e-07, Accum Loss: 1.158248484134674
Lr: 4.947413608070402e-07, Accum Loss: 1.1579931378364563
Lr: 4.968877441511055e-07, Accum Loss: 1.1583167910575867
Lr: 4.990341274951706e-07, Accum Loss: 1.1282909512519836
Lr: 5.011805108392359e-07, Accum Loss: 1.206648588180542
Lr: 5.033268941833012e-07, Accum Loss: 1.1707172393798828
Lr: 5.054732775273664e-07, Accum Loss: 1.0578965544700623
Lr: 5.076196608714317e-07, Accum Loss: 1.1239812970161438
Lr: 5.097660442154969e-07, Accum Loss: 1.0855185985565186
Lr: 5.119124275595621e-07, Accum Loss: 1.1704322695732117
Lr: 5.140588109036274e-07, Accum Loss: 1.2343122363090515
Lr: 5.162051942476927e-07, Accum Loss: 1.195313572883606
Lr: 5.18351577591758e-07, Accum Loss: 1.129034698009491
Lr: 5.204979609358231e-07, Accum Loss: 1.1240007877349854
Lr: 5.226443442798884e-07, Accum Loss: 1.140322744846344
Lr: 5.247907276239537e-07, Accum Loss: 1.0179956555366516
Lr: 5.269371109680189e-07, Accum Loss: 1.0770694017410278
Lr: 5.290834943120842e-07, Accum Loss: 1.1137399673461914
Lr: 5.312298776561494e-07, Accum Loss: 1.22174072265625
Lr: 5.333762610002146e-07, Accum Loss: 1.1702189445495605
Lr: 5.355226443442799e-07, Accum Loss: 1.1289231777191162
Lr: 5.376690276883452e-07, Accum Loss: 1.0886383056640625
Lr: 5.398154110324104e-07, Accum Loss: 1.2146857976913452
Lr: 5.419617943764756e-07, Accum Loss: 1.1198306679725647
Lr: 5.441081777205409e-07, Accum Loss: 1.2614837884902954
Lr: 5.462545610646062e-07, Accum Loss: 1.0800171494483948
Lr: 5.484009444086714e-07, Accum Loss: 1.0352197289466858
Lr: 5.505473277527367e-07, Accum Loss: 1.1590388417243958
Lr: 5.526937110968019e-07, Accum Loss: 1.0915019512176514
Lr: 5.548400944408671e-07, Accum Loss: 1.1154619455337524
Lr: 5.569864777849324e-07, Accum Loss: 1.1969459056854248
Lr: 5.591328611289977e-07, Accum Loss: 1.141048014163971
Lr: 5.612792444730629e-07, Accum Loss: 1.1193880438804626
Lr: 5.634256278171281e-07, Accum Loss: 1.0266491174697876
Lr: 5.655720111611934e-07, Accum Loss: 1.178087592124939
Lr: 5.677183945052586e-07, Accum Loss: 1.1797859072685242
Lr: 5.698647778493239e-07, Accum Loss: 1.1027610301971436
Lr: 5.720111611933892e-07, Accum Loss: 1.1089535355567932
Lr: 5.741575445374545e-07, Accum Loss: 1.1635924577713013
Lr: 5.763039278815196e-07, Accum Loss: 1.106046438217163
Lr: 5.784503112255849e-07, Accum Loss: 1.055515170097351
Lr: 5.805966945696502e-07, Accum Loss: 1.1255343556404114
Lr: 5.827430779137154e-07, Accum Loss: 1.0545979142189026
Lr: 5.848894612577807e-07, Accum Loss: 1.1504736542701721
Lr: 5.87035844601846e-07, Accum Loss: 1.2142388224601746
Lr: 5.891822279459111e-07, Accum Loss: 1.0804832577705383
